	crt_76[K]	crt_72-76[CVMNK]	dhfr_51[N]	dhfr_59[C]	dhfr_108[S]	dhfr_164[I]	dhps_437[G]	dhps_540[K]	dhps_581[A]	dhps_613[A]	kelch13_349-726_ns_changes	mdr1_dup_call	mdr1_breakpoint	pm2_dup_call	pm2_breakpoint
FP0032-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
FP0033-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
FP0034-C	T,K	CVIET,CVMNK	I	R	N	I	G	K	A	A		0		0	
FP0035-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
FP0037-CW	K,T	CVMNK,CVIET	N	C	S	I	G	K	A	A		0		0	
FP0038-C	T	CVIET	N	C	S	I	G	K	A	S		0		0	
FP0039-C	K	CVMNK	I,N	R,C	N,S	I	A	K	A	A		0		0	
FP0040-C	T,K	CVIET,CVMNK	I	R	N	I	G,A	K	A	A		0		0	
FP0041-C	K,T	CVMNK,CVIET	I	R	N	I	A	K	A	A		0		0	
FP0042-C	T,K	CVIET,CVMNK	I,N	R,C	N,S	I	G,A	K	A	A		0		0	
FP0043-C	T	CVIET	I,N	R,C	N,S	I	G	K	A	A		0		0	
FP0044-C	T	CVIET	I,N	R,C	N,S	I	A	K	A	A		0		0	
FP0045-CW	T	CVIET	I,N	R,C	N,S	I	A	K	A	A		0	PfMDR1_dup_04	0	
FP0046-C	K	CVMNK	N,I	C,R	S,N	I	G,A	K,E	A	A		0		0	
FP0047-C	T,K	CVIET,CVMNK	N	C	S	I	A	K	A	A		0		0	
FP0048-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
FP0050-CW	T	CVIET	I	R	N	I	A	K	A	A		0		0	
FP0051-C	K,T	CVMNK,CVIET	I,N	R,C	N,S	I	A,G	K	A	A		0		0	
FP0052-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
FP0054-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
FP0055-C	K	CVMNK	I	R	N	I	G,A	K	A	A		0		0	
FP0056-C	K	CVMNK	I	R	N	I	A,G	K	A	A		0		0	
FP0057-C	K	CVMNK	I	R	N	I	G	K	A	S		0		0	
FP0058-C	K,T	CVMNK,CVIET	I	R	N	I	A,G	K	A	A		0		0	
FP0059-C	K	CVMNK	I	R	N	I	G	K	A	S		0		0	
FP0061-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
FP0062-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
FP0063-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
FP0065-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
FP0066-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
FP0067-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
FP0068-C	T	CVIET	N	C	S	I	A	K	A	A		0		0	
FP0069-C	K	CVMNK	N	R	N	I	A	K	A	A		0		0	
FP0073-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
FP0075-CW	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
FP0076-CW	T	CVIET	I	R	N	I	A	K	A	A		0		0	
FP0077-C	T,K	CVIET,CVMNK	I	R	N	I	A,G	K	A	A		0		0	
FP0078-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
FP0081-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
FP0082-C	T,K	CVIET,CVMNK	I	R	N	I	A	K	A	A		0		0	
FP0083-CW	T	CVIET	N	C	S	I	A	K	A	A		0		0	
FP0084-C	T	CVIET	I	R	N	I	A,G	K	A	A		0		0	
FP0089-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
FP0090-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
FP0092-C	T	CVIET	N	R	N	I	G	K	A	A		0		0	
FP0093-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
FP0094-CW	T	CVIET	N	C	S	I	A	K	A	A		0		0	
FP0095-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
FP0096-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
FP0097-C	K,T	CVMNK,CVIET	I	R	N	I	A	K	A	A		0		0	
FP0098-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
FP0099-CW	-	-	-	-	-	-	G,A	K	A	A	-	-1		-1	
FP0100-CW	K,T	CVMNK,CVIET	N,I	C,R	N,S	I	G	K	A	A		0		0	
FP0101-C	T	CVIET	I	R	N	I	G	K	A	S		0		0	
FP0102-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
FP0103-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
FP0105-C	K	CVMNK	I,N	R,C	N,S	I	G	E	A	A		0		0	
FP0112-C	T	CVIET	N	C	S	I	A	K	A	A		0		0	
FP0113-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
FP0114-C	T,K	CVIET,CVMNK	I,N	R,C	N,S	I	A	K	A	A		0		0	
FP0116-C	T,K	CVIET,CVMNK	N	C,R	S	I	A,G	K	A	A		0		0	
FP0117-C	K,T	CVMNK,CVIET	I	R	N	I	A	K	A	A	a676s	0		0	
FP0119-C	T,K	CVIET,CVMNK	N	C	S	I	G	K	A	A		0		0	
FP0120-C	T	CVIET	I	R	N	I	G	E	A	A		0		0	
FP0123-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
FP0127-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
FP0129-C	K,T	CVMNK,CVIET	I	R	N	I	A	K	A	A		0		0	
FP0132-CW	K	CVMNK	N,I	C,R	S,N	I	G,A	K	A	A		-1	PfMDR1_dup_08	-1	
FP0133-CW	K,T	CVMNK,CVIET	I,N	R,C	N	I	G	K	A	A	p441s	0		0	
FP0136-C	T,K	CVIET,CVMNK	N	C	S	I	G	K	A	A		0		0	
PA0007-C	T	CVIET	I	R	N	I	G	K	A	A		-1		0	
PA0008-C	K,T	CVMNK,CVIET	I	R	N	I	G,A	K	A	A		0		0	
PA0011-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0012-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PA0013-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0014-C	T,K	CVIET,CVMNK	I	R	N	I	A	K	A	A		0		0	
PA0015-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PA0016-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PA0017-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0018-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0020-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0021-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0022-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0026-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0027-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0028-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0029-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0030-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PA0032-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0034-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PA0035-C	T	CVIET	I	R	N	I	G	K	A	A	E612D	0		0	
PA0036-C	T	CVIET	N	C	N	I	G	K	A	A		0		0	
PA0037-C	T	CVIET	I	R	N	I	G	K	A	A		0	PfMDR1_dup_20	0	
PA0038-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PA0039-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0040-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PA0041-C	K	CVMNK	I	R	N	I	G,A	K	A	A		0		0	
PA0042-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PA0044-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PA0045-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0046-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PA0047-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PA0049-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0050-C	T	CVIET	I	C	N	I	G	K	A	A		0		0	
PA0051-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0052-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0053-C	T	CVIET	I,N	R,C	N,S	I	A,G	K	A	A		0		0	
PA0054-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0057-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0060-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0061-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0063-C	T	CVIET	I	R	N	I	G	K	A	A		-1		0	
PA0064-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0065-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0066-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0067-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PA0068-C	T	CVIET	I	C	N	I	G	K	A	A		0	PfMDR1_dup_08	0	
PA0069-C	T	CVIET	I	C	N	I	G	K	A	A		0	PfMDR1_dup_02	0	
PA0071-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0072-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0073-C	T	CVIET	I	R	N	I	G	K	A	A		0	PfMDR1_dup_10	0	
PA0074-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0075-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0078-C	T	CVIET	I	R	N	I	G	K	A	A		-1	PfMDR1_dup_06	-1	PfPlasmepsin_2
PA0081-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PA0084-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PA0085-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0087-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0089-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PA0091-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PA0092-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PA0093-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0094-C	T,K	CVIET,CVMNK	I	R	N	I	A,G	K	A	A		0		0	
PA0095-C	K	CVMNK	I,N	R,C	N	I	G,A	K	A	A		0		0	
PA0097-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0098-C	K	CVMNK	I	R	N	I	A,G	K	A	A		0		0	
PA0099-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PA0100-C	T	CVIET	I	C	N	I	A	K	A	A		0		0	
PA0101-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0102-C	K	CVMNK	I	R	N	I	A,G	K	A	A		0		0	
PA0103-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0104-C	K	CVMNK	N	C	S	I	G	K	A	A		0		0	
PA0105-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PA0134-C	T	CVIET	I	R	N	I	G	E	A	A		0		0	
PA0135-C	T,K	CVMNK,CVIET	I,N	R,C	N,S	I	G,A	K	A	A		0		0	
PA0136-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PA0137-C	T	CVIET	N	C	S	I	A	K	A	A		0		0	
PA0138-C	T	CVIET	I	R	N	I	G	K,E	A	A		0		0	
PA0140-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PA0141-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PA0142-C	T,K	CVIET,CVMNK	N,I	C,R	S,N	I	G	K	A	A		0		0	
PA0144-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0145-C	K	CVMNK	I	R	N	I	A	K	A	A		0	PfMDR1_dup_15	0	
PA0146-C	T,K	CVIET,CVMNK	I	R	N	I	A,G	K	A	A		0		0	
PA0147-C	T,K	CVIET,CVMNK	N,I	R	N	I	G	K	A	A,S		0		0	
PA0148-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0149-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0150-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0151-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0152-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0153-C	K	CVMNK	I	R	N	I	A,G	K	A	A		0		0	
PA0155-C	T,K	CVIET,CVMNK	N,I	R	N	I	G	K	A	A	a676s	0		0	
PA0156-C	T	CVIET	I	R	N	I	G,A	K	A	A		0		0	
PA0157-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0158-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PA0159-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0160-C	K,T	CVMNK,CVIET	I	R	N	I	G,A	K	A	A		0		0	
PA0161-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0162-C	T,K	CVIET,CVMNK	I	R	N	I	G	K	A	S,A		0		0	
PA0163-C	T	CVIET	I	R	N	I	G,A	K	A	A		0		0	
PA0164-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0165-C	T	CVIET	N	R	N	I	A	K	A	A		0		0	
PA0167-C	K	CVMNK	I	R	N	I	A	K	A	S		0		0	
PA0168-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0169-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0171-C	K,T	CVMNK,CVIET	I	R	N	I	G,A	K	A	A,S		0		0	
PA0172-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PA0173-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PA0175-C	T	CVIET	I,N	R,C	N	I	G,A	K	A	A		0		0	
PA0176-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PA0177-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0178-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0179-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PA0180-C	T	CVIET	I	R	N	I	G	K	A	S		0		0	
PA0181-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0182-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PA0183-C	T	CVIET	I	R	N	I	G	K	A	S		0		0	
PA0184-C	T	CVIET	I	R	N	I	A,G	K	A	A		0		0	
PA0185-C	K,T	CVMNK,CVIET	N	C	S	I	A,G	K	A	A,S		0		0	
PA0186-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0187-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PA0188-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PA0189-C	K	CVMNK	I	R	N	I	G	K	A	S		0		0	
PA0191-C	T	CVIET	N,I	C,R	S,N	I	A,G	K	A	A		0		0	
PA0192-C	K	CVMNK	I	R	N	I	A,G	K,E	A	A		0		0	
PA0193-C	K,T	CVMNK,CVIET	I	R	N	I	A,G	K	A	A		0		0	
PA0195-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0196-C	T	CVIET	I	R	N	I	A	K	A	S		0		0	
PA0197-C	K	CVMNK	N	C	S	I	G	K	A	A		0		0	
PA0198-C	T	CVIET	I	R	N	I	A	K	A	S,A		0		0	
PA0199-C	K,T	CVMNK,CVIET	N	C	S	I	A,G	K	A	S		0		0	
PA0200-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0201-C	T	CVIET	I	R	N	I	G	K	A	S		0		0	
PA0202-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PA0203-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0204-C	T	CVIET	N	C	S	I	A	K	A	A		0		0	
PA0205-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0206-C	T	CVIET	I,N	R,C	N,S	I	A,G	K	A	A		0		0	
PA0207-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PA0208-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PA0209-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0210-C	T,K	CVIET,CVMNK	I	R	N	I	A,G	K	A	A		0		0	
PA0211-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0212-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0213-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0214-C	T	CVIET	I	R	N	I	G	E	A	A		0		0	
PA0215-C	T	CVIET	N	R	N	I	G	K	A	A		0		0	
PA0216-C	T	CVIET	N,I	C,R	S,N	I	G	K	A	A		0		0	
PA0217-C	K	CVMNK	I,N	R,C	N,S	I	A,G	K	A	A		0		0	
PA0218-C	T,K	CVIET,CVMNK	I	R	N	I	G	K	A	A		0		0	
PA0219-C	T	CVIET	N	R	N	I	G	K	A	A	A676S	0		0	
PA0220-C	K,T	CVMNK,CVIET	I,N	R,C	N,S	I	G	K	A	A		0		0	
PA0221-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0222-C	T	CVIET	I,N	R,C	N,S	I	G,A	K	A	A,S		0		0	
PA0223-C	T	CVIET	N	R	N	I	G	K	A	A		0		0	
PA0224-C	T	CVIET	I	R	N	I	G,A	K	A	A		0		0	
PA0225-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0226-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0227-C	T	CVIET	N,I	C,R	S,N	I	G	K	A	A		0		0	
PA0229-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PA0230-C	K	CVMNK	N,I	C,R	S,N	I	A,G	K	A	A		0		0	
PA0231-C	T,K	CVIET,CVMNK	I	R	N	I	G,A	K	A	A,S		0		0	
PA0232-C	T	CVIET	I	R	N	I	G	K	A	A	S522C	0		0	
PA0233-C	T,K	CVIET,CVMNK	I,N	R,C	N,S	I	A,G	K	A	A		0		0	
PA0234-C	K,T	CVMNK,CVIET	I,N	R,C	N,S	I	G	K,E	A	A		0		0	
PA0237-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0238-C	T	CVIET	N	C	S	I	A	K	A	A		0		0	
PA0239-C	T	CVIET	I,N	R,C	N,S	I	G,A	K,E	A	A	a578s	0		0	
PA0240-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0243-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0245-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0246-C	K	CVMNK	I	R	N	I	G	K,E	A	S,A		0		0	
PA0249-C	K,T	CVMNK,CVIET	I	R	N	I	G	K	A	A		0		0	
PA0251-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PA0253-C	T,K	CVIET,CVMNK	I,N	R	N	I	G,A	K	A	A,S		0		0	
PA0254-C	T	CVIET	N	C	S	I	G	K	A	A		0		0	
PA0255-C	T,K	CVMNK,CVIET	I	R	N	I	G,A	K	A	A		0		0	
PA0256-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0257-C	K,T	CVMNK,CVIET	I,N	R,C	N	I	G,A	K	A	A		0		0	
PA0260-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0261-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PA0262-C	T	CVIET	I	R	N	I	G	E	A	A		0		0	
PA0263-C	T	CVIET	I,N	R,C	N,S	I	G,A	K	A	A		0		0	
PA0266-C	T	CVIET	I	R	N	I	G,A	K	A	A		0		0	
PA0267-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0268-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PA0270-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PA0281-CW	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PA0283-CW	K	CVMNK	N	C	S	I	G	K	A	A		-1		-1	
PA0284-CW	T	CVIET	I,N	R,C	S,N	I	G	K	A	A		0		0	
PA0290-C	T	CVIET	I,N	R,C	N,S	I	A,G	K,E	A	A		0		0	
PA0291-CW	T,K	CVIET,CVMNK	I	R	N	I	G	E,K	A	A		0		0	
PA0294-CW	T	CVIET	I	R	N	I	G	K	A	A		-1		-1	
PA0295-CW	T	CVIET	I	R	N	I	G	K	A	A		-1		-1	
PA0297-CW	K	CVMNK	I	R	N	I	G	K	A	S		0		0	
PA0298-C	T	CVIET	N,I	C,R	S,N	I	G,A	K	A	A		0		0	
PA0299-CW	K	CVMNK	I	R	N	I	G	K	A	S		-1		0	
PA0300-C	K	CVMNK	I,N	R,C	N	I	G	K	A	A,S		0		0	
PA0302-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0303-CW	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0305-CW	T	CVIET	I	R	N	I	A,G	K	A	A		0		0	
PA0306-CW	T	CVIET	I	R	N	I	A,G	K	A	A		0		0	
PA0307-CW	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PA0312-CW	T,K	CVIET,CVMNK	I	R	N	I	G	K	A	A		-1		0	
PA0313-CW	T,K	CVIET,CVMNK	I	R	N	I	G	K	A	A		-1		-1	
PA0318-CW	T	CVIET	N	R	N	I	G	K	A	A		0		0	
PA0321-CW	K	CVMNK	N	C	S	I	G	K	A	A		-1		0	
PA0325-CW	K	CVMNK	I	R	N	I	A,G	K	A	A		-1		0	
PA0329-CW	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PA0330-CW	K	CVMNK	N	C	S	I	A	K	A	A		-1		0	
PA0331-CW	K	CVMNK	I	R	N	I	A	K	A	A		-1		0	
PA0332-CW	K	CVMNK	N	C	S	I	G	K	A	A		-1	PfMDR1_dup_02	0	
PA0334-CW	K	CVMNK	I,N	R,C	N,S	I	A	K	A	A		0		0	
PA0337-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0341-C	K	CVMNK	I	R	N	I	A,G	K	A	A		0		0	
PA0342-CW	T,K	CVIET,CVMNK	I	R	N	I	A,G	K	A	A		-1		0	
PA0344-CW	K	CVMNK	I,N	R	N	I	A,G	K	A	A		0		0	
PA0345-CW	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0346-CW	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0347-CW	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PA0349-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PA0350-CW	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PA0357-CW	T,K	CVIET,CVMNK	I	R	N	I	G	K	A	A		-1		0	
PA0363-CW	T	CVIET	I	R	N	I	A	K	A	A		-1		0	
PA0370-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PA0371-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0372-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PA0373-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PA0374-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PA0375-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PA0376-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PA0377-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PA0378-C	K,T	CVMNK,CVIET	I	R	N	I	A,G	K	A	A		0		0	
PA0379-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PA0382-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0383-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PA0384-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0387-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0388-C	T	CVIET	N	C	S	I	G	K	A	A		0		0	
PA0389-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0391-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0392-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PA0393-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PA0394-C	T,K	CVIET,CVMNK	N	R	N	I	G	K	A	A		0		0	
PA0395-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0396-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PA0397-C	T	CVIET	I	R	N	I	G,A	K	A	A		0		0	
PA0398-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0399-C	K	CVMNK	I,N	R,C	N,S	I	A	K	A	A		0		0	
PA0400-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PA0401-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PA0402-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0403-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PA0404-C	K	CVMNK	I	R	N	I	G,A	K	A	S,A		0		0	
PA0405-C	T	CVIET	I	R	N	I	G,A	K	A	A		0		0	
PA0406-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PA0407-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PA0409-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0411-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0413-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PA0414-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PA0417-C	K	CVMNK	N	C	S	I	G	K	A	A		0		0	
PA0419-C	K	CVMNK	N	C	S	I	G	K	A	A		0		0	
PA0423-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PA0424-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
