"country"	"District"	"year"	"Locus"	"n_freq"	"freq"	"n_prev"	"prev"
"51"	"Thailand"	"Tak"	2013	"C580Y"	115	0.563554533039188	111	0.513513513513513
"52"	"Thailand"	"Tak"	2014	"C580Y"	7	0.714285714285714	5	1
"53"	"Thailand"	"Tak"	2015	"C580Y"	10	0.3	9	0.333333333333333
"54"	"Thailand"	"Tak"	2016	"C580Y"	2	0	1	0
"55"	"Vietnam"	"Binh Phuoc"	2011	"C580Y"	122	0.101606983457229	116	0.0948275862068965
"56"	"Vietnam"	"Binh Phuoc"	2016	"C580Y"	68	0.875551836520803	61	0.918032786885246
"57"	"Vietnam"	"Dak Lak"	2017	"C580Y"	97	0.95047726908999	91	0.956043956043956
"58"	"Vietnam"	"Dak Lak"	2018	"C580Y"	15	0.999018447018447	15	1
"59"	"Vietnam"	"Dak Nong"	2017	"C580Y"	47	0.956630689383653	45	0.955555555555556
"60"	"Vietnam"	"Dak Nong"	2018	"C580Y"	26	0.999413781852026	25	1
"61"	"Vietnam"	"Gia Lai"	2015	"C580Y"	37	0.592069719855942	34	0.588235294117647
"62"	"Vietnam"	"Gia Lai"	2016	"C580Y"	5	0.75	5	0.6
"63"	"Vietnam"	"Khanh Hoa"	2011	"C580Y"	5	0	NA	NA
"64"	"Vietnam"	"Khanh Hoa"	2017	"C580Y"	22	0.163593871721631	17	0.0588235294117647
"65"	"Cambodia"	"Battambang"	2008	"K13"	25	0.631348370927318	NA	NA
"66"	"Cambodia"	"Battambang"	2009	"K13"	40	0.774849397590361	NA	NA
"67"	"Cambodia"	"Pailin"	2007	"K13"	3	0.666374012291484	NA	NA
"68"	"Cambodia"	"Pailin"	2008	"K13"	34	0.792451833787704	NA	NA
"69"	"Cambodia"	"Pailin"	2009	"K13"	16	0.727932177178874	NA	NA
"70"	"Cambodia"	"Pailin"	2010	"K13"	10	0.996643394199785	NA	NA
"71"	"Cambodia"	"Pailin"	2011	"K13"	50	0.90691242474876	NA	NA
"72"	"Cambodia"	"Pailin"	2012	"K13"	41	0.824167816533517	NA	NA
"73"	"Cambodia"	"Pailin"	2015	"K13"	47	0.907932438263317	NA	NA
"74"	"Cambodia"	"Pailin"	2016	"K13"	58	0.790381629230994	NA	NA
"75"	"Cambodia"	"Pailin"	2017	"K13"	26	0.848307090949244	NA	NA
"76"	"Cambodia"	"Preah Vihear"	2011	"K13"	79	0.258067615846614	NA	NA
"77"	"Cambodia"	"Preah Vihear"	2012	"K13"	78	0.281440781440781	NA	NA
"78"	"Cambodia"	"Preah Vihear"	2013	"K13"	28	0.464285714285714	NA	NA
"79"	"Cambodia"	"Preah Vihear"	2014	"K13"	12	0.833333333333333	NA	NA
"80"	"Cambodia"	"Preah Vihear"	2015	"K13"	4	0.75	NA	NA
"81"	"Cambodia"	"Preah Vihear"	2016	"K13"	5	0.993873462580375	NA	NA
"82"	"Cambodia"	"Pursat"	2007	"K13"	40	0.420678255819183	NA	NA
"83"	"Cambodia"	"Pursat"	2009	"K13"	25	0.67387316690022	NA	NA
"84"	"Cambodia"	"Pursat"	2010	"K13"	152	0.747713548364344	NA	NA
"85"	"Cambodia"	"Pursat"	2011	"K13"	110	0.766111245234401	NA	NA
"86"	"Cambodia"	"Pursat"	2012	"K13"	85	0.763223043920148	NA	NA
"87"	"Cambodia"	"Pursat"	2013	"K13"	67	0.802550257059397	NA	NA
"88"	"Cambodia"	"Pursat"	2014	"K13"	37	0.808025104105309	NA	NA
"89"	"Cambodia"	"Pursat"	2015	"K13"	20	0.781006728778468	NA	NA
"90"	"Cambodia"	"Pursat"	2016	"K13"	92	0.884424978058775	NA	NA
"91"	"Cambodia"	"Pursat"	2017	"K13"	36	0.868935732856282	NA	NA
"92"	"Cambodia"	"Pursat"	2018	"K13"	3	0.998717948717949	NA	NA
"93"	"Cambodia"	"Ratanakiri"	2010	"K13"	51	0.0119988293824993	NA	NA
"94"	"Cambodia"	"Ratanakiri"	2011	"K13"	93	0.035405192761605	NA	NA
"95"	"Cambodia"	"Ratanakiri"	2012	"K13"	44	0.0454545454545455	NA	NA
"96"	"Cambodia"	"Ratanakiri"	2013	"K13"	20	0.05	NA	NA
"97"	"Cambodia"	"Ratanakiri"	2014	"K13"	29	0.140881430942283	NA	NA
"98"	"Cambodia"	"Ratanakiri"	2016	"K13"	89	0.693633704457577	NA	NA
"99"	"Cambodia"	"Ratanakiri"	2017	"K13"	80	0.846708516668112	NA	NA
"100"	"Cambodia"	"Ratanakiri"	2018	"K13"	5	0.479962039601929	NA	NA
"101"	"Cambodia"	"Stueng Traeng"	2016	"K13"	35	0.857002111189303	NA	NA
"102"	"Cambodia"	"Stueng Traeng"	2017	"K13"	21	0.952380952380952	NA	NA
"103"	"Laos"	"Attapeu"	2011	"K13"	59	0.0169491525423729	NA	NA
"104"	"Laos"	"Attapeu"	2012	"K13"	27	0.037037037037037	NA	NA
"105"	"Laos"	"Attapeu"	2017	"K13"	67	0.359060402684564	NA	NA
"106"	"Laos"	"Attapeu"	2018	"K13"	57	0.718373746580427	NA	NA
"107"	"Laos"	"Champasak"	2017	"K13"	97	0.79295757581728	NA	NA
"108"	"Laos"	"Champasak"	2018	"K13"	118	0.522401202469269	NA	NA
"109"	"Laos"	"Salavan"	2017	"K13"	102	0.309479286536249	NA	NA
"110"	"Laos"	"Salavan"	2018	"K13"	43	0.278528934559221	NA	NA
"111"	"Laos"	"Savannakhet"	2010	"K13"	45	0	NA	NA
"112"	"Laos"	"Savannakhet"	2017	"K13"	261	0.026531254920485	NA	NA
"113"	"Laos"	"Savannakhet"	2018	"K13"	133	0.127589180763976	NA	NA
"114"	"Laos"	"Sekong"	2015	"K13"	7	0.705102849686443	NA	NA
"115"	"Laos"	"Sekong"	2016	"K13"	4	0	NA	NA
"116"	"Laos"	"Sekong"	2017	"K13"	12	0.73910394265233	NA	NA
"117"	"Laos"	"Sekong"	2018	"K13"	2	0.5	NA	NA
"118"	"Myanmar"	"Bago"	2011	"K13"	12	0.166666666666667	NA	NA
"119"	"Myanmar"	"Bago"	2012	"K13"	81	0.119739768099799	NA	NA
"120"	"Myanmar"	"Bago"	2013	"K13"	1	0	NA	NA
"121"	"Myanmar"	"Bago"	2015	"K13"	11	0	NA	NA
"122"	"Myanmar"	"Bago"	2016	"K13"	16	0	NA	NA
"123"	"Myanmar"	"Bago"	2017	"K13"	3	0	NA	NA
"124"	"Myanmar"	"Kachin"	2013	"K13"	12	0.797103587794725	NA	NA
"125"	"Myanmar"	"Kachin"	2014	"K13"	16	0.567832523014918	NA	NA
"126"	"Myanmar"	"Kayin"	2015	"K13"	1	0	NA	NA
"127"	"Myanmar"	"Kayin"	2016	"K13"	422	0.201831990808232	NA	NA
"128"	"Myanmar"	"Kayin"	2017	"K13"	272	0.181731114217246	NA	NA
"129"	"Myanmar"	"Mandalay"	2012	"K13"	3	0	NA	NA
"130"	"Myanmar"	"Mandalay"	2013	"K13"	56	0.286679621117204	NA	NA
"131"	"Myanmar"	"Mandalay"	2014	"K13"	18	0.277777777777778	NA	NA
"132"	"Myanmar"	"Mandalay"	2015	"K13"	16	0.123595900368288	NA	NA
"133"	"Myanmar"	"Mandalay"	2016	"K13"	21	0.0733510030814317	NA	NA
"134"	"Myanmar"	"Mandalay"	2017	"K13"	6	0.655772882588557	NA	NA
"135"	"Myanmar"	"Rakhine"	2017	"K13"	19	0.0715579710144928	NA	NA
"136"	"Myanmar"	"Sagaing"	2012	"K13"	75	0.183411764705882	NA	NA
"137"	"Myanmar"	"Shan"	2011	"K13"	22	0.0454545454545455	NA	NA
"138"	"Myanmar"	"Shan"	2012	"K13"	31	0.161290322580645	NA	NA
"139"	"Myanmar"	"Tanintharyi"	2011	"K13"	51	0.383606489439548	NA	NA
"140"	"Thailand"	"Ranong"	2011	"K13"	10	0.886089206301972	NA	NA
"141"	"Thailand"	"Ranong"	2012	"K13"	17	0.153839792711836	NA	NA
"142"	"Thailand"	"Sisakhet"	2011	"K13"	5	1	NA	NA
"143"	"Thailand"	"Sisakhet"	2012	"K13"	19	0.942961716736145	NA	NA
"144"	"Thailand"	"Sisakhet"	2013	"K13"	4	0.690677966101695	NA	NA
"145"	"Thailand"	"Sisakhet"	2015	"K13"	47	0.994249763084385	NA	NA
"146"	"Thailand"	"Sisakhet"	2016	"K13"	11	0.959154450617352	NA	NA
"147"	"Thailand"	"Sisakhet"	2017	"K13"	26	0.945431032251921	NA	NA
"148"	"Thailand"	"Tak"	2001	"K13"	37	0	NA	NA
"149"	"Thailand"	"Tak"	2002	"K13"	52	0	NA	NA
"150"	"Thailand"	"Tak"	2003	"K13"	85	0.0176323160843285	NA	NA
"151"	"Thailand"	"Tak"	2004	"K13"	79	0	NA	NA
"152"	"Thailand"	"Tak"	2005	"K13"	50	0.02	NA	NA
"153"	"Thailand"	"Tak"	2006	"K13"	2	0	NA	NA
"154"	"Thailand"	"Tak"	2007	"K13"	29	0.0241379310344828	NA	NA
"155"	"Thailand"	"Tak"	2008	"K13"	308	0.0437738950625549	NA	NA
"156"	"Thailand"	"Tak"	2009	"K13"	16	0	NA	NA
"157"	"Thailand"	"Tak"	2010	"K13"	16	0.0357142857142857	NA	NA
"158"	"Thailand"	"Tak"	2011	"K13"	54	0.274248628790626	NA	NA
"159"	"Thailand"	"Tak"	2012	"K13"	95	0.437498960881911	NA	NA
"160"	"Thailand"	"Tak"	2013	"K13"	115	0.621818070961239	NA	NA
"161"	"Thailand"	"Tak"	2014	"K13"	7	0.714285714285714	NA	NA
"162"	"Thailand"	"Tak"	2015	"K13"	10	0.3	NA	NA
"163"	"Thailand"	"Tak"	2016	"K13"	2	0.5	NA	NA
"164"	"Thailand"	"Tak"	2017	"K13"	1	1	NA	NA
"165"	"Vietnam"	"Binh Phuoc"	2005	"K13"	12	0.333333333333333	NA	NA
"166"	"Vietnam"	"Binh Phuoc"	2009	"K13"	18	0.172441191191191	NA	NA
"167"	"Vietnam"	"Binh Phuoc"	2010	"K13"	97	0.208391277875814	NA	NA
"168"	"Vietnam"	"Binh Phuoc"	2011	"K13"	122	0.322460504366126	NA	NA
"169"	"Vietnam"	"Binh Phuoc"	2012	"K13"	31	0.256476964883209	NA	NA
"170"	"Vietnam"	"Binh Phuoc"	2013	"K13"	16	0	NA	NA
"171"	"Vietnam"	"Binh Phuoc"	2014	"K13"	8	0.527777777777778	NA	NA
"172"	"Vietnam"	"Binh Phuoc"	2015	"K13"	48	0.784210141413208	NA	NA
"173"	"Vietnam"	"Binh Phuoc"	2016	"K13"	68	0.875551836520803	NA	NA
"174"	"Vietnam"	"Binh Phuoc"	2017	"K13"	87	0.894914186819691	NA	NA
"175"	"Vietnam"	"Binh Phuoc"	2018	"K13"	235	0.94098536084105	NA	NA
"176"	"Vietnam"	"Dak Lak"	2017	"K13"	97	0.95047726908999	NA	NA
"177"	"Vietnam"	"Dak Lak"	2018	"K13"	15	0.999018447018447	NA	NA
"178"	"Vietnam"	"Dak Nong"	2017	"K13"	47	0.956630689383653	NA	NA
"179"	"Vietnam"	"Dak Nong"	2018	"K13"	26	0.999413781852026	NA	NA
"180"	"Vietnam"	"Gia Lai"	2015	"K13"	37	0.62689914795178	NA	NA
"181"	"Vietnam"	"Gia Lai"	2016	"K13"	5	0.8	NA	NA
"182"	"Vietnam"	"Gia Lai"	2017	"K13"	200	0.601640983356808	NA	NA
"183"	"Vietnam"	"Gia Lai"	2018	"K13"	116	0.835606399857327	NA	NA
"184"	"Vietnam"	"Khanh Hoa"	2011	"K13"	5	0	NA	NA
"185"	"Vietnam"	"Khanh Hoa"	2014	"K13"	32	0.369791666666667	NA	NA
"186"	"Vietnam"	"Khanh Hoa"	2017	"K13"	22	0.535209235209235	NA	NA
"187"	"Vietnam"	"Ninh Thuan"	2003	"K13"	10	0	NA	NA
"188"	"Vietnam"	"Ninh Thuan"	2005	"K13"	6	0	NA	NA
"189"	"Vietnam"	"Ninh Thuan"	2006	"K13"	7	0	NA	NA
"190"	"Vietnam"	"Ninh Thuan"	2007	"K13"	7	0	NA	NA
"191"	"Vietnam"	"Ninh Thuan"	2012	"K13"	46	0.0217391304347826	NA	NA
"192"	"Vietnam"	"Ninh Thuan"	2014	"K13"	1	0	NA	NA
"193"	"Vietnam"	"Ninh Thuan"	2017	"K13"	21	0	NA	NA
"194"	"Vietnam"	"Ninh Thuan"	2018	"K13"	1	0	NA	NA
"195"	"Vietnam"	"Quang Nam"	2012	"K13"	84	0.757334743107769	NA	NA
"196"	"Vietnam"	"Quang Nam"	2013	"K13"	6	0.166666666666667	NA	NA
"197"	"Vietnam"	"Quang Tri"	2010	"K13"	15	0.0148148148148148	NA	NA
"198"	"Vietnam"	"Quang Tri"	2017	"K13"	25	0.313171929824561	NA	NA
"199"	"Cambodia"	"Pailin"	2007	"R539T"	3	0.499780605528741	3	0.333333333333333
"200"	"Cambodia"	"Pailin"	2008	"R539T"	34	0.41295470250794	24	0.208333333333333
"201"	"Cambodia"	"Pailin"	2010	"R539T"	10	0.96752403221616	10	0.1
"202"	"Cambodia"	"Pailin"	2011	"R539T"	50	0.446863013119437	49	0.102040816326531
"203"	"Cambodia"	"Pailin"	2015	"R539T"	47	0	15	0
"204"	"Cambodia"	"Pailin"	2016	"R539T"	58	0	22	0
"205"	"Cambodia"	"Pailin"	2017	"R539T"	26	0	24	0
"206"	"Cambodia"	"Preah Vihear"	2011	"R539T"	79	0.0329964079204937	73	0.0273972602739726
"207"	"Cambodia"	"Preah Vihear"	2013	"R539T"	28	0	20	0
"208"	"Cambodia"	"Preah Vihear"	2014	"R539T"	12	0	7	0
"209"	"Cambodia"	"Preah Vihear"	2015	"R539T"	4	0	3	0
"210"	"Cambodia"	"Preah Vihear"	2016	"R539T"	5	0	5	0
"211"	"Cambodia"	"Pursat"	2007	"R539T"	40	0.0413033540585138	26	0.0384615384615385
"212"	"Cambodia"	"Pursat"	2009	"R539T"	25	0.196093158747102	19	0.0526315789473684
"213"	"Cambodia"	"Pursat"	2010	"R539T"	152	0.172103102767087	107	0.0467289719626168
"214"	"Cambodia"	"Pursat"	2011	"R539T"	110	0.262762733941545	101	0.099009900990099
"215"	"Cambodia"	"Pursat"	2015	"R539T"	20	0	18	0
"216"	"Cambodia"	"Pursat"	2017	"R539T"	36	0	29	0
"217"	"Cambodia"	"Pursat"	2018	"R539T"	3	0	3	0
"218"	"Cambodia"	"Ratanakiri"	2011	"R539T"	93	0	78	0
"219"	"Cambodia"	"Ratanakiri"	2013	"R539T"	20	0	13	0
"220"	"Cambodia"	"Ratanakiri"	2017	"R539T"	80	0.0747893279764225	73	0.0136986301369863
"221"	"Cambodia"	"Ratanakiri"	2018	"R539T"	5	0	5	0
"222"	"Laos"	"Attapeu"	2011	"R539T"	59	0.0169491525423729	59	0.0169491525423729
"223"	"Laos"	"Attapeu"	2017	"R539T"	67	0.0334649777489799	65	0.0307692307692308
"224"	"Laos"	"Attapeu"	2018	"R539T"	57	0.332603041755473	54	0.148148148148148
"225"	"Thailand"	"Ranong"	2011	"R539T"	10	0	9	0
"226"	"Thailand"	"Ranong"	2012	"R539T"	17	0.0594417379048319	11	0.0909090909090909
"227"	"Thailand"	"Sisakhet"	2011	"R539T"	5	1	5	0.4
"228"	"Thailand"	"Sisakhet"	2012	"R539T"	19	0.93592720285349	12	0.833333333333333
"229"	"Thailand"	"Sisakhet"	2013	"R539T"	4	0.659242106810747	3	1
"230"	"Thailand"	"Sisakhet"	2015	"R539T"	47	0	16	0
"231"	"Thailand"	"Sisakhet"	2016	"R539T"	11	0	5	0
"232"	"Thailand"	"Sisakhet"	2017	"R539T"	26	0	18	0
"233"	"Vietnam"	"Binh Phuoc"	2009	"R539T"	18	0	13	0
"234"	"Vietnam"	"Binh Phuoc"	2011	"R539T"	122	0.0668796755550907	116	0.0517241379310345
"235"	"Vietnam"	"Binh Phuoc"	2016	"R539T"	68	0	61	0
"236"	"Cambodia"	"Pailin"	2007	"other_K13"	3	0.499561018437226	NA	NA
"237"	"Cambodia"	"Pailin"	2010	"other_K13"	10	0	NA	NA
"238"	"Cambodia"	"Pailin"	2011	"other_K13"	50	0.300553976766718	NA	NA
"239"	"Cambodia"	"Pailin"	2015	"other_K13"	47	0.0714442001901282	NA	NA
"240"	"Cambodia"	"Pailin"	2017	"other_K13"	26	0	NA	NA
"241"	"Cambodia"	"Pursat"	2007	"other_K13"	40	0.321673971161496	NA	NA
"242"	"Cambodia"	"Pursat"	2009	"other_K13"	25	0.50717885937709	NA	NA
"243"	"Cambodia"	"Pursat"	2010	"other_K13"	152	0.472412003303642	NA	NA
"244"	"Cambodia"	"Pursat"	2018	"other_K13"	3	0	NA	NA
"245"	"Laos"	"Salavan"	2017	"other_K13"	102	0.0918665984153832	NA	NA
"246"	"Laos"	"Sekong"	2015	"other_K13"	7	0.589541464521067	NA	NA
"247"	"Laos"	"Sekong"	2016	"other_K13"	4	0	NA	NA
"248"	"Laos"	"Sekong"	2017	"other_K13"	12	0.73910394265233	NA	NA
"249"	"Laos"	"Sekong"	2018	"other_K13"	2	0.5	NA	NA
"250"	"Myanmar"	"Bago"	2011	"other_K13"	12	0.166666666666667	NA	NA
"251"	"Myanmar"	"Bago"	2012	"other_K13"	81	0.119739768099799	NA	NA
"252"	"Myanmar"	"Bago"	2013	"other_K13"	1	0	NA	NA
"253"	"Myanmar"	"Bago"	2015	"other_K13"	11	0	NA	NA
"254"	"Myanmar"	"Bago"	2016	"other_K13"	16	0	NA	NA
"255"	"Myanmar"	"Bago"	2017	"other_K13"	3	0	NA	NA
"256"	"Myanmar"	"Kachin"	2013	"other_K13"	12	0.797103587794725	NA	NA
"257"	"Myanmar"	"Mandalay"	2012	"other_K13"	3	0	NA	NA
"258"	"Myanmar"	"Mandalay"	2013	"other_K13"	56	0.286679621117204	NA	NA
"259"	"Myanmar"	"Mandalay"	2014	"other_K13"	18	0.277777777777778	NA	NA
"260"	"Myanmar"	"Mandalay"	2015	"other_K13"	16	0.123595900368288	NA	NA
"261"	"Myanmar"	"Mandalay"	2016	"other_K13"	21	0.0733510030814317	NA	NA
"262"	"Myanmar"	"Mandalay"	2017	"other_K13"	6	0.655772882588557	NA	NA
"263"	"Thailand"	"Ranong"	2011	"other_K13"	10	0.627011343367608	NA	NA
"264"	"Thailand"	"Ranong"	2012	"other_K13"	17	0.0467954291392374	NA	NA
"265"	"Thailand"	"Tak"	2001	"other_K13"	37	0	NA	NA
"266"	"Thailand"	"Tak"	2002	"other_K13"	52	0	NA	NA
"267"	"Thailand"	"Tak"	2004	"other_K13"	79	0	NA	NA
"268"	"Thailand"	"Tak"	2006	"other_K13"	2	0	NA	NA
"269"	"Thailand"	"Tak"	2007	"other_K13"	29	0.0241379310344828	NA	NA
"270"	"Thailand"	"Tak"	2009	"other_K13"	16	0	NA	NA
"271"	"Thailand"	"Tak"	2010	"other_K13"	16	0.0357142857142857	NA	NA
"272"	"Thailand"	"Tak"	2012	"other_K13"	95	0.229783922420196	NA	NA
"273"	"Thailand"	"Tak"	2014	"other_K13"	7	0	NA	NA
"274"	"Thailand"	"Tak"	2016	"other_K13"	2	0.5	NA	NA
"275"	"Thailand"	"Tak"	2017	"other_K13"	1	1	NA	NA
"276"	"Vietnam"	"Binh Phuoc"	2011	"other_K13"	122	0.235477520607627	NA	NA
"277"	"Vietnam"	"Binh Phuoc"	2016	"other_K13"	68	0	NA	NA
"278"	"Vietnam"	"Gia Lai"	2016	"other_K13"	5	0.5	NA	NA
